Story,Label
فخر زمان کی شاندار سنچری، لاہور کراچی سے آگے نکل گیا,pakistan
لوگ حکومت کے سستے قرضے لے نہیں رہے یا لے پا نہیں رہے؟,pakistan
پشاور میں مسلح افراد کی فائرنگ سے پادری ہلاک,pakistan
وسعت اللہ خان کا کالم: خدایا ایسی اپوزیشن ہر حکمران کو عطا کر,pakistan
’تم نے دیکھا؟ فوج میں بھی کتنے پڑھے لکھے لوگ ہوتے ہیں‘,pakistan
’خاندان کے اثاثوں پر جج جوابدہ نہیں تو وزیراعظم کیوں ہوں؟‘,pakistan
آمنہ مفتی کا کالم ’اڑیں گے پرزے‘: پڑا ہوا جزیرہ، مرا ہوا دریا,pakistan
انڈین فوج کی قید میں 14 سالہ عصمد علی: ’دو ماہ سے کھانے کا ہوش ہے نہ سونے کا‘,pakistan
’کووڈ نے سب بدل دیا، کوئی چیز نہیں بدلی تو قلندرز کی شکست کی ریت‘,pakistan
سندھ میں سور پر کتے چھوڑنے پر بے رحمی ایکٹ کے تحت مقدمہ درج,pakistan
سینیٹ میں ایک ووٹ سے سٹیٹ بینک بل کی منظوری: ’یوسف رضا گیلانی کو موجود ہونا چاہیے تھا’,pakistan
ایوب خان کے صدارتی نظام کا خاتمہ کیوں ہوا؟,pakistan
’شعیب ملک پریشر اور زیادہ سکور والے میچز میں بہترین پرفارمنس کا مظاہرہ کرتے ہیں‘,pakistan
پاکستان کرکٹ میں پی ایس ایل کا کرشمہ,pakistan
بچھڑا ہوا بھائی انڈیا سے پاکستان آئے گا تو ’ڈھول بجا کر سارا گاؤں اکٹھا کریں گے‘,pakistan
فلم ’جاوید اقبال‘ کی ریلیز پر پابندی: ’آپ کے سینما گھروں میں ساس بہو کے ڈراموں کی قسطیں ہی چلیں گی‘,pakistan
'عمران خان کا بہت شکریہ، ایک گھنٹے میں میرے بھائی کو ویزا دے دیا',pakistan
راوی ریور فرنٹ: ’ہاؤسنگ سوسائٹی نہیں نیا شہر بن رہا ہے، سپریم کورٹ میں کیس رکھیں گے‘,pakistan
’پب جی‘ کھیلنے کا عادی بیٹا ہی ماں، بہنوں اور بھائی کا قاتل ہے: لاہور پولیس,pakistan
انڈیا میں بانی پاکستان کی یادگار کا نام تبدیل کرنے کا مطالبہ کیوں کیا جا رہا ہے؟,pakistan
کیچ میں 10 فوجیوں کی ہلاکت: ‘ہم پاکستان سے ہر قسم کی دہشتگردی مٹانے کے لیے پرعزم ہیں‘,pakistan
ضابطہ فوجداری، تعزیرات پاکستان اور قانون شہادت میں ترامیم سے کیا آسانیاں ہوں گی؟,pakistan
عوامی عہدہ رکھنے سے متعلق تاحیات نااہلی کا قانون سپریم کورٹ میں چیلنج,pakistan
’خاندان کی عزت نیلام ہو گئی اور تم بیٹے کی عمر کے لڑکے سے شادی کر کے کھڑی ہو‘,pakistan
